"Title_id";"Movie_title";"Genre";"Duration";"Country";"Rating";"Director";"Score";"Release_date";"Income";"Votes"
"tt0062622";"2001: A Space Odyssey";"Adventure, Sci-Fi";"149 mins";"UK";"G";"Stanley Kubrick";"7.6";"1968-12-12";"$68,989,547";"587,866"
"tt0033467";"Citizen Kane";"Drama, Mystery";"119 mins";"USA";"Unrated";"Orson Welles";"7.6";"1948-11-25";"$1,594,107";"389,322"
"tt8579674";"1917";"Drama, War";"119 mins";"USA";"Unrated";"Sam Mendes";"7.6";"2020-01-23";"$384,857,224";"362,897"
"tt0086879";"Amadeus";"Biography, Drama, History";"160 mins";"USA";"R";"Milos Forman";"7.6";"1985-02-15";"$52,066,791";"361,028"
"tt0052357";"Vertigo";"Mystery, Romance, Thriller";"128 mins";"USA";"Unrated";"Alfred Hitchcock";"7.5";"1958-11-18";"$7,796,389";"352,786"
"tt0053125";"North by Northwest";"Adventure, Mystery, Thriller";"136 mins";"USA";"Unrated";"Alfred Hitchcock";"7.5";"1959-10-28";"$73,446";"291,628"
"tt2106476";"Jagten";"Drama";"115 mins";"Denmark";"R";"Thomas Vinterberg";"7.5";"2012-11-22";"$15,843,274";"269,616"
"tt0056172";"Lawrence of Arabia";"Adventure, Biography, Drama";"228 mins";"UK";"PG";"David Lean";"7.5";"1963-10-29";"$45,710,874";"261,504"
"tt0070735";"The Sting";"Comedy, Crime, Drama";"129 mins";"USA";"PG";"George Roy Hill";"7.5";"1974-03-21";"$156,000,000";"236,285"
"tt0082096";"Das Boot";"Adventure, Drama, Thriller";"149 mins";"Germany";"R";"Wolfgang Petersen";"7.5";"1982-03-18";"$11,487,676";"226,427"
"tt0059578";"Per qualche dollaro in più";"Western";"132 mins";"Italy";"Unrated";"Sergio Leone";"7.4";"1965-12-20";"$15,000,000";"226,039"
"tt1832382";"Jodaeiye Nader az Simin";"Drama";"123 mins";"Iran";"PG-13";"Asghar Farhadi";"7.4";"2011-10-21";"$22,926,076";"214,165"
"tt0045152";"Singin' in the Rain";"Comedy, Musical, Romance";"103 mins";"USA";"Unrated";"Stanley Donen";"7.4";"1953-02-05";"$1,864,182";"213,152"
